210,4.70E-18,
215,3.16E-18,
220,1.93E-18,
225,1.28E-18,
230,9.10E-19,
235,7.30E-19,
240,6.00E-19,
245,5.10E-19,
250,4.00E-19,
255,3.20E-19,
260,2.59E-19,-0.091
265,2.04E-19,-0.1
270,1.64E-19,-0.104
275,1.32E-19,-0.112
280,1.11E-19,-0.112
285,8.59E-20,-0.126
290,6.71E-20,-0.135
295,5.11E-20,-0.152
300,3.87E-20,-0.17
305,2.91E-20,-0.194
310,2.17E-20,-0.226
315,1.62E-20,-0.253
320,1.21E-20,-0.294
325,8.90E-21,-0.338
330,6.70E-21,-0.388
335,5.00E-21,-0.409
340,3.80E-21,-0.492
345,2.79E-21,-0.53
350,2.15E-21,-0.583
355,1.64E-21,-0.719
360,1.24E-21,-0.77
365,9.10E-22,-0.801
370,7.20E-22,-0.885
375,5.30E-22,-0.765
380,4.10E-22,-0.992
385,3.20E-22,-0.992
390,2.28E-22,-0.949
395,1.71E-22,-0.845
400,1.38E-22,-0.966
405,1.03E-22,-1
410,8.00E-23,-1.16
