202,1.26E-19
206,4.10E-21
210,2.82E-21
214,2.88E-21
218,2.90E-21
222,3.06E-21
226,3.62E-21
230,4.63E-21
234,6.22E-21
238,8.58E-21
242,1.19E-20
246,1.64E-20
250,2.19E-20
254,2.84E-20
258,3.56E-20
262,4.29E-20
266,4.98E-20
270,5.55E-20
274,5.97E-20
278,6.18E-20
280,6.20E-20
281,6.19E-20
282,6.17E-20
283,6.14E-20
284,6.11E-20
285,6.05E-20
286,5.96E-20
287,5.84E-20
288,5.70E-20
289,5.56E-20
290,5.43E-20
291,5.31E-20
292,5.18E-20
293,5.04E-20
294,4.87E-20
295,4.67E-20
296,4.44E-20
297,4.21E-20
298,3.99E-20
299,3.80E-20
300,3.63E-20
301,3.46E-20
302,3.28E-20
303,3.08E-20
304,2.87E-20
305,2.63E-20
306,2.40E-20
307,2.18E-20
308,1.98E-20
309,1.81E-20
310,1.65E-20
311,1.51E-20
312,1.37E-20
313,1.24E-20
314,1.10E-20
315,9.67E-21
316,8.36E-21
317,7.16E-21
318,6.13E-21
319,5.22E-21
320,4.44E-21
321,3.74E-21
322,3.17E-21
323,2.64E-21
324,2.19E-21
325,1.81E-21
326,1.50E-21
327,1.25E-21
328,1.01E-21
329,8.30E-22
330,6.80E-22
331,5.40E-22
332,4.40E-22
333,3.40E-22
334,2.50E-22
335,2.00E-22
336,1.60E-22
337,1.30E-22
338,1.10E-22
339,8.00E-23
340,2.00E-23
341,1.00E-23
342,0
343,0
344,0
345,0
346,0
347,0
348,1.00E-23
349,0
350,0
351,0
352,0
353,0
354,0
355,0
