215,1.67E-21,-0.01046,8.35E-05,-1.64E-07
216,1.80E-21,-0.009192,7.36E-05,-1.45E-07
217,1.96E-21,-0.006233,5.04E-05,-1.00E-07
218,2.12E-21,-0.00319,2.65E-05,-5.36E-08
219,2.28E-21,-0.001002,9.31E-06,-2.00E-08
220,2.46E-21,0.0004104,-1.81E-06,1.68E-09
221,2.70E-21,0.001567,-1.09E-05,1.94E-08
222,2.94E-21,0.002962,-2.18E-05,4.06E-08
223,3.18E-21,0.004839,-3.65E-05,6.91E-08
224,3.46E-21,0.00694,-5.29E-05,1.01E-07
225,3.80E-21,0.008598,-6.59E-05,1.26E-07
226,4.19E-21,0.00938,-7.20E-05,1.38E-07
227,4.56E-21,0.009551,-7.34E-05,1.41E-07
228,4.92E-21,0.009705,-7.46E-05,1.43E-07
229,5.35E-21,0.01008,-7.76E-05,1.49E-07
230,5.84E-21,0.01041,-8.02E-05,1.54E-07
231,6.37E-21,0.01039,-8.00E-05,1.54E-07
232,6.93E-21,0.01001,-7.71E-05,1.48E-07
233,7.50E-21,0.009534,-7.33E-05,1.41E-07
234,8.15E-21,0.009138,-7.02E-05,1.35E-07
235,8.85E-21,0.008851,-6.80E-05,1.30E-07
236,9.56E-21,0.008638,-6.63E-05,1.27E-07
237,1.03E-20,0.008471,-6.50E-05,1.25E-07
238,1.11E-20,0.008318,-6.39E-05,1.22E-07
239,1.21E-20,0.008125,-6.24E-05,1.19E-07
240,1.30E-20,0.007861,-6.03E-05,1.15E-07
241,1.40E-20,0.007554,-5.79E-05,1.11E-07
242,1.50E-20,0.007268,-5.57E-05,1.06E-07
243,1.60E-20,0.007035,-5.39E-05,1.03E-07
244,1.72E-20,0.006838,-5.24E-05,9.99E-08
245,1.83E-20,0.006649,-5.09E-05,9.72E-08
246,1.95E-20,0.006472,-4.96E-05,9.46E-08
247,2.07E-20,0.006326,-4.85E-05,9.26E-08
248,2.20E-20,0.00621,-4.76E-05,9.09E-08
249,2.33E-20,0.006099,-4.68E-05,8.94E-08
250,2.47E-20,0.005972,-4.59E-05,8.76E-08
251,2.60E-20,0.005832,-4.49E-05,8.58E-08
252,2.74E-20,0.005697,-4.39E-05,8.40E-08
253,2.87E-20,0.005581,-4.31E-05,8.25E-08
254,3.01E-20,0.005483,-4.24E-05,8.12E-08
255,3.15E-20,0.005385,-4.16E-05,7.99E-08
256,3.30E-20,0.005261,-4.08E-05,7.83E-08
257,3.44E-20,0.005101,-3.96E-05,7.62E-08
258,3.57E-20,0.004932,-3.84E-05,7.41E-08
259,3.69E-20,0.004802,-3.76E-05,7.26E-08
260,3.81E-20,0.004746,-3.72E-05,7.22E-08
261,3.94E-20,0.004744,-3.73E-05,7.24E-08
262,4.07E-20,0.004734,-3.73E-05,7.25E-08
263,4.20E-20,0.004651,-3.67E-05,7.16E-08
264,4.32E-20,0.004482,-3.56E-05,6.96E-08
265,4.41E-20,0.004271,-3.42E-05,6.71E-08
266,4.49E-20,0.004087,-3.30E-05,6.51E-08
267,4.56E-20,0.003983,-3.23E-05,6.42E-08
268,4.64E-20,0.003969,-3.24E-05,6.44E-08
269,4.72E-20,0.004009,-3.27E-05,6.52E-08
270,4.79E-20,0.004025,-3.29E-05,6.58E-08
271,4.87E-20,0.003935,-3.24E-05,6.49E-08
272,4.91E-20,0.003704,-3.09E-05,6.23E-08
273,4.94E-20,0.003378,-2.86E-05,5.85E-08
274,4.94E-20,0.003061,-2.65E-05,5.47E-08
275,4.94E-20,0.002854,-2.51E-05,5.24E-08
276,4.93E-20,0.00279,-2.47E-05,5.20E-08
277,4.92E-20,0.002816,-2.51E-05,5.28E-08
278,4.94E-20,0.00282,-2.52E-05,5.32E-08
279,4.92E-20,0.002692,-2.43E-05,5.18E-08
280,4.91E-20,0.002389,-2.22E-05,4.80E-08
281,4.86E-20,0.001963,-1.92E-05,4.27E-08
282,4.79E-20,0.001517,-1.61E-05,3.73E-08
283,4.71E-20,0.001137,-1.35E-05,3.27E-08
284,4.62E-20,0.000853,-1.16E-05,2.94E-08
285,4.54E-20,0.0006518,-1.02E-05,2.71E-08
286,4.44E-20,0.0004907,-9.15E-06,2.53E-08
287,4.36E-20,0.000319,-7.99E-06,2.33E-08
288,4.28E-20,0.0001109,-6.59E-06,2.09E-08
289,4.15E-20,-0.000123,-5.04E-06,1.83E-08
290,4.06E-20,-0.0003698,-3.43E-06,1.57E-08
291,3.95E-20,-0.000643,-1.62E-06,1.27E-08
292,3.82E-20,-0.0009625,5.80E-07,8.85E-09
293,3.71E-20,-0.001316,3.06E-06,4.47E-09
294,3.57E-20,-0.00165,5.35E-06,4.77E-10
295,3.42E-20,-0.001905,6.99E-06,-2.17E-09
296,3.26E-20,-0.002084,7.96E-06,-3.43E-09
297,3.11E-20,-0.002234,8.67E-06,-4.09E-09
298,2.98E-20,-0.002391,9.42E-06,-4.82E-09
299,2.82E-20,-0.00259,1.06E-05,-6.39E-09
300,2.67E-20,-0.002915,1.28E-05,-1.02E-08
301,2.58E-20,-0.003421,1.65E-05,-1.71E-08
302,2.45E-20,-0.004008,2.09E-05,-2.54E-08
303,2.30E-20,-0.004508,2.47E-05,-3.25E-08
304,2.18E-20,-0.004858,2.72E-05,-3.70E-08
305,2.05E-20,-0.00512,2.88E-05,-3.96E-08
