190,1.80E-18
195,2.40E-18
200,3.00E-18
205,3.70E-18
210,4.30E-18
215,4.55E-18
220,4.40E-18
225,3.90E-18
230,3.40E-18
235,2.80E-18
240,2.30E-18
245,1.80E-18
250,1.40E-18
255,1.05E-18
260,8.00E-19
265,5.70E-19
270,4.10E-19
275,2.90E-19
280,2.00E-19
285,1.35E-19
290,1.00E-19
295,8.00E-20
300,6.90E-20
302,7.10E-20
306,6.20E-20
310,9.00E-20
312,8.00E-20
314,7.00E-20
316,1.05E-19
318,1.40E-19
320,1.00E-19
322,8.00E-20
324,1.00E-19
326,1.30E-19
328,1.80E-19
330,2.30E-19
332,1.30E-19
334,1.02E-19
339,3.24E-19
342,1.90E-19
345,1.30E-19
348,1.80E-19
350,2.90E-19
352,3.15E-19
354,2.40E-19
356,1.90E-19
358,1.50E-19
360,1.40E-19
362,1.50E-19
364,1.72E-19
366,1.74E-19
368,1.24E-19
370,1.24E-19
372,1.20E-19
374,1.00E-19
376,8.00E-20
378,6.00E-20
380,5.05E-20
382,5.10E-20
384,5.40E-20
386,5.60E-20
388,5.20E-20
390,4.30E-20
395,1.40E-20
400,5.00E-21
405,2.00E-21
410,1.00E-21
415,4.50E-22
420,2.20E-22
425,1.10E-22
430,6.00E-23
440,1.50E-23
