200,6.80E-18,5.53E-18,
205,5.20E-18,4.47E-18,
210,3.61E-18,3.45E-18,
215,2.92E-18,2.94E-18,
220,2.56E-18,2.65E-18,
225,2.30E-18,2.41E-18,
230,2.05E-18,2.15E-18,
235,1.75E-18,1.82E-18,
240,1.40E-18,1.43E-18,
245,1.06E-18,1.06E-18,
250,7.97E-19,7.72E-19,
255,6.00E-19,5.70E-19,
260,4.71E-19,4.40E-19,
265,3.89E-19,3.61E-19,
270,3.38E-19,3.13E-19,
275,3.05E-19,2.83E-19,
280,2.79E-19,2.62E-19,
285,2.56E-19,2.43E-19,
290,2.32E-19,2.25E-19,
295,2.08E-19,2.06E-19,
300,1.86E-19,1.88E-19,
305,1.65E-19,1.70E-19,
310,1.45E-19,1.52E-19,
315,1.27E-19,1.34E-19,
320,1.13E-19,1.18E-19,
325,1.02E-19,1.04E-19,
330,9.32E-20,9.50E-20,
335,8.62E-20,8.79E-20,
340,8.06E-20,8.18E-20,
345,7.57E-20,7.66E-20,
350,7.01E-20,7.12E-20,
355,6.52E-20,6.62E-20,
360,5.99E-20,6.07E-20,
365,5.43E-20,5.51E-20,
370,4.89E-20,4.94E-20,
375,4.35E-20,4.40E-20,
380,3.85E-20,3.84E-20,
385,3.37E-20,3.34E-20,
390,2.97E-20,2.91E-20,
395,2.59E-20,2.52E-20,
400,2.28E-20,2.21E-20,
405,2.01E-20,1.96E-20,
410,1.81E-20,1.76E-20,
415,1.65E-20,1.63E-20,
420,1.50E-20,1.51E-20,
425,1.38E-20,1.43E-20,
430,1.29E-20,1.36E-20,
435,1.20E-20,1.29E-20,
440,1.11E-20,1.20E-20,
445,1.03E-20,1.12E-20,
450,9.28E-21,1.01E-20,
455,8.31E-21,8.93E-21,
460,7.42E-21,7.85E-21,
465,6.52E-21,6.64E-21,
470,5.66E-21,4.92E-21,
475,4.61E-21,4.31E-21,
480,3.92E-21,3.29E-21,
485,3.97E-21,2.40E-21,
490,2.49E-21,1.67E-21,
495,2.07E-21,1.05E-21,
500,1.50E-21,6.20E-22,
