205,3.10E-18,211,1.85
210,3.26E-18,96,1.5
215,3.46E-18,68,1.38
220,3.26E-18,73,1.29
225,2.83E-18,105,1.26
230,2.22E-18,155,1.29
235,1.71E-18,203,1.36
240,1.36E-18,229,1.39
245,1.12E-18,242,1.48
250,9.29E-19,239,1.5
255,7.61E-19,230,1.44
260,6.03E-19,246,1.54
265,4.63E-19,268,1.69
270,3.51E-19,258,1.65
275,2.71E-19,236,1.58
280,2.25E-19,194,1.52
285,1.88E-19,136,1.36
290,1.71E-19,84,1.17
295,1.59E-19,60,1.04
300,1.48E-19,58,0.91
305,1.35E-19,73,0.82
310,1.20E-19,99,0.74
315,1.04E-19,135.6,0.7
320,8.81E-20,176.8,0.66
325,7.25E-20,227.6,0.69
330,5.83E-20,278.8,0.68
335,4.60E-20,336.4,0.74
340,3.57E-20,397.9,0.86
345,2.73E-20,459.8,0.97
350,2.08E-20,522.1,1.14493
355,1.56E-20,593,1.46169
360,1.17E-20,660.3,1.71663
365,8.73E-21,726.4,2.00104
370,6.50E-21,792.1,2.33777
375,4.84E-21,850.9,2.60668
380,3.59E-21,910.8,2.92818
385,2.69E-21,974,3.34597
390,2.01E-21,1024.7,3.65781
395,1.50E-21,1080.8,3.97039
400,1.13E-21,1143.2,4.4706
405,8.47E-22,1174.7,4.52843
410,6.42E-22,1236,5.16769
415,4.86E-22,1231.6,4.89102
420,3.63E-22,1257,4.91924
425,2.78E-22,1411.4,7.03785
430,2.17E-22,1332.4,5.69311
435,1.67E-22,1528.6,8.564
440,1.23E-22,1161.9,2.753
445,9.40E-23,1410,6.785
450,7.48E-23,1550.1,8.966
455,6.06E-23,1357.1,5.061
460,4.98E-23,2100.9,17.81
465,3.79E-23,2395.2,21.91
470,3.17E-23,1401.8,6.412
